================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.11.21.102:49167         <-> 202.239.38.163:443             281 361 kB        115 7,689 bytes     396 369 kB        0.327030000        34.7335
10.11.21.102:49204         <-> 92.53.78.210:443               278 360 kB         99 7,547 bytes     377 367 kB      447.220287000         2.7072
10.11.21.102:49196         <-> 92.53.78.210:443               107 130 kB         42 4,143 bytes     149 134 kB      376.359494000         2.0855
10.11.21.102:49198         <-> 92.53.78.210:443                80 97 kB          28 3,287 bytes     108 101 kB      378.468374000         2.0368
10.11.21.102:49192         <-> 216.58.216.68:443               70 85 kB          36 2,949 bytes     106 88 kB       375.209934000         0.5931
10.11.21.102:49173         <-> 92.53.78.210:443                58 66 kB          22 2,943 bytes      80 69 kB        76.627246000         1.9233
10.11.21.102:49208         <-> 92.53.78.210:443                39 42 kB          18 2,687 bytes      57 44 kB       451.911179000         2.4121
10.11.21.102:49206         <-> 92.53.78.210:443                26 25 kB          11 2,267 bytes      37 27 kB       449.985987000         1.9017
10.11.21.102:49171         <-> 92.53.78.210:443                13 7,603 bytes       9 2,131 bytes      22 9,734 bytes    75.092581000         1.5244
10.11.21.102:49194         <-> 92.53.78.210:443                11 1,923 bytes       9 4,701 bytes      20 6,624 bytes   375.744892000         1.2517
10.11.21.102:49189         <-> 92.53.78.210:443                 9 1,691 bytes       8 2,103 bytes      17 3,794 bytes   375.043941000         1.3076
10.11.21.102:49200         <-> 92.53.78.210:443                 9 1,899 bytes       8 2,167 bytes      17 4,066 bytes   378.553370000         1.3534
10.11.21.102:49202         <-> 92.53.78.210:443                 8 1,786 bytes       8 2,151 bytes      16 3,937 bytes   379.919928000         1.2812
10.11.21.102:49188         <-> 216.58.216.78:80                 3 714 bytes       4 526 bytes       7 1,240 bytes   374.815576000         0.3177
10.11.21.102:49190         <-> 216.58.216.68:80                 3 1,067 bytes       4 554 bytes       7 1,621 bytes   375.096662000         0.2087
