================================================================================
TCP Conversations
Filter:<No Filter>
                                                           |       <-      | |       ->      | |     Total     |    Relative    |   Duration   |
                                                           | Frames  Bytes | | Frames  Bytes | | Frames  Bytes |      Start     |              |
10.1.24.101:49358          <-> 200.68.61.242:8080             792 791 kB        664 41 kB        1456 833 kB     10512.248258000       379.1480
10.1.24.101:49201          <-> 72.47.248.48:8080              687 897 kB        680 42 kB        1367 939 kB     9455.008067000       138.9035
10.1.24.101:49171          <-> 189.250.153.215:443            540 613 kB        472 29 kB        1012 643 kB     2029.483674000        78.1336
10.1.24.101:49265          <-> 108.167.189.16:587             416 39 kB         364 105 kB        780 145 kB     9513.542722000        11.8578
10.1.24.101:49158          <-> 81.2.194.244:80                195 253 kB        198 12 kB         393 265 kB        0.345629000         8.6854
10.1.24.101:49160          <-> 112.78.2.95:80                 176 232 kB         91 5,585 bytes     267 238 kB       25.299542000         1.8935
10.1.24.101:49349          <-> 72.47.248.48:8080              111 139 kB        109 7,272 bytes     220 146 kB     10307.797220000         6.0639
10.1.24.101:49181          <-> 72.47.248.48:8080              104 131 kB        105 7,012 bytes     209 138 kB     5620.479241000        11.6112
10.1.24.101:49427          <-> 50.87.153.168:26                94 13 kB          83 22 kB         177 36 kB      10862.333938000         6.1027
10.1.24.101:49168          <-> 200.68.61.242:8080              35 35 kB          34 3,588 bytes      69 38 kB       200.278268000        78.5389
10.1.24.101:49200          <-> 72.47.248.48:8080               25 24 kB          28 3,098 bytes      53 27 kB      8579.904560000       138.9041
10.1.24.101:49174          <-> 189.250.153.215:443             27 24 kB          25 2,922 bytes      52 27 kB      4661.050550000       120.0482
10.1.24.101:49491          <-> 192.185.24.167:25               26 7,689 bytes      25 7,588 bytes      51 15 kB      11014.637037000        25.7725
10.1.24.101:49681          <-> 201.116.59.213:587              22 3,505 bytes      24 6,667 bytes      46 10 kB      11272.454828000         5.1263
10.1.24.101:49552          <-> 143.95.77.226:25                26 8,553 bytes      19 4,330 bytes      45 12 kB      11091.605051000         8.7171
